Date,State,Cases_Total,Cases_White,Cases_Black,Cases_LatinX,Cases_Asian,Cases_AIAN,Cases_NHPI,Cases_Multiracial,Cases_Other,Cases_Unknown,Cases_Ethnicity_Hispanic,Cases_Ethnicity_NonHispanic,Cases_Ethnicity_Unknown,Deaths_Total,Deaths_White,Deaths_Black,Deaths_LatinX,Deaths_Asian,Deaths_AIAN,Deaths_NHPI,Deaths_Multiracial,Deaths_Other,Deaths_Unknown,Deaths_Ethnicity_Hispanic,Deaths_Ethnicity_NonHispanic,Deaths_Ethnicity_Unknown
20200726,NM,19042,2494,342,7451,123,7350,,,,1282,7451,10309,1282,614,98,4,59,1,236,,,,216,59,339,216
20200726,NV,42843,8061,2160,8731,1909,128,,,4928,16926,8731,17186,16926,734,294,71,109,83,4,,,11,162,109,463,162
20200726,NY,411736,,,,,,,,,411736,,,,28211,8625,6349,6682,1686,,,,1850,3019,6682,18510,3019
20200726,OH,84073,40577,21499,,2220,106,154,2444,5728,11345,5511,57939,20623,3307,2504,641,,36,1,1,42,26,56,73,3146,88
20200726,OK,31285,17629,2255,,1637,2593,,,1245,5926,6695,18302,6288,496,370,31,,12,44,,,12,27,25,423,48
20200726,OR,16758,6636,606,,508,385,385,347,5262,2629,6105,7897,2756,289,202,6,,12,3,6,3,23,34,34,214,41
20200726,PA,107425,34900,14600,,1500,,,,1100,55325,8600,24400,74425,7118,5018,1484,,151,,,,339,126,418,6574,126
20200726,PR,15143,,,,,,,,,15143,,,,201,,,,,,,,,201,,,
20200726,RI,18224,4939,1671,6171,,,,,493,4950,6171,7103,4950,1002,662,51,85,,,,,13,191,85,726,191
20200726,SC,81199,26500,19433,,588,,,,5300,29376,7112,34915,39170,1491,642,526,,12,,,,38,271,49,1020,408
20200726,SD,8395,3292,1006,1175,719,1360,,,843,0,1175,7220,0,123,,,,,,,,,123,,,
20200726,TN,93936,39810,18149,,898,111,73,,12786,22109,16730,49169,28037,967,543,336,,15,2,2,,60,9,91,859,17
20200726,TX,381656,8341,4059,12980,683,,,,153,355440,12980,13236,355440,5038,336,99,237,16,,,,2,4348,237,453,4348
20200726,UT,37973,14847,941,14749,828,817,1490,,4665,4306,14749,18918,4306,274,140,5,65,15,21,14,,22,12,65,197,12
20200726,VA,84567,19270,14548,25397,2566,99,,336,2005,20346,25397,38824,20346,2078,1129,494,230,120,2,,0,29,74,230,1774,74
20200726,VI,361,,,,,,,,,361,,,,7,,,,,,,,,7,,,
20200726,VT,1400,1149,159,,53,2,,,29,8,52,1343,5,56,53,,,2,,,,1,0,0,56,0
20200726,WA,52635,12849,1903,15202,1832,611,987,807,802,17642,15202,19791,17642,1501,986,49,200,125,33,21,17,33,37,200,1264,37
20200726,WI,52680,32024,7984,,1661,508,,,5080,5423,12854,33120,6706,899,629,203,,26,10,,,15,16,109,774,16
20200726,WV,5960,4614,453,,,,,,893,0,,,,103,58,3,,,,,,,42,,,
20200726,WY,2475,1199,24,312,12,379,8,,97,533,312,1719,533,25,12,0,2,0,10,,,0,1,2,22,1
