State,Group,Cases,Deaths,Population
Tennessee,Native Hawaiian/Other Pacific Islander,0.000777125,0.002068252,
Texas,Native Hawaiian/Other Pacific Islander,0,0,0.001
United States,Native Hawaiian/Other Pacific Islander,0.002207894,0.001123832,0.001
Utah,Native Hawaiian/Other Pacific Islander,0.039238406,0.051094891,0.01
Virginia,Native Hawaiian/Other Pacific Islander,0,0,0.001
Virgin Islands,Native Hawaiian/Other Pacific Islander,0,0,
Vermont,Native Hawaiian/Other Pacific Islander,0,0,
Washington,Native Hawaiian/Other Pacific Islander,0.018751781,0.013990673,0.01
Wisconsin,Native Hawaiian/Other Pacific Islander,0,0,0.001
West Virginia,Native Hawaiian/Other Pacific Islander,0,0,
Wyoming,Native Hawaiian/Other Pacific Islander,0.003232323,0,
Alaska,Multiracial,0.022187005,0,0.07
Alabama,Multiracial,0,0,0.02
Arkansas,Multiracial,0,0,0.03
American Samoa,Multiracial,,,
Arizona,Multiracial,0,0,0.02
California,Multiracial,0.004838436,0.004990494,0.03
Colorado,Multiracial,0.008999459,0.012040939,0.03
Connecticut,Multiracial,0.002972773,0.007477906,0.02
District of Columbia,Multiracial,0,0,0.03
Delaware,Multiracial,0,0,0.03
Florida,Multiracial,0,0,0.02
Georgia,Multiracial,0,0,0.02
Guam,Multiracial,0,0,
Hawaii,Multiracial,0,0,0.2
Iowa,Multiracial,0,0,0.02
Idaho,Multiracial,0.033338835,0,0.02
Illinois,Multiracial,0,0,0.02
Indiana,Multiracial,0,0,0.02
Kansas,Multiracial,0,0,0.03
Kentucky,Multiracial,0.038812364,0.022857143,0.02
Louisiana,Multiracial,0,0,0.02
Massachusetts,Multiracial,0,0,0.03
Maryland,Multiracial,0,0,0.03
Maine,Multiracial,0.00681699,0,0.02
Michigan,Multiracial,0.065727374,0.0159375,0.03
Minnesota,Multiracial,0.017027349,0.013630731,0.03
Missouri,Multiracial,0.030004532,0.007518797,0.03
Northern Mariana Islands,Multiracial,0,0,
Mississippi,Multiracial,0,0,0.01
Montana,Multiracial,0,0,0.03
North Carolina,Multiracial,0,0,0.03
North Dakota,Multiracial,0,0,0.02
Nebraska,Multiracial,0,0,0.03
New Hampshire,Multiracial,0,0,0.02
New Jersey,Multiracial,0,0,0.02
New Mexico,Multiracial,0,0,0.02
Nevada,Multiracial,0,0,0.04
New York,Multiracial,0,0,0.03
Ohio,Multiracial,0.029069975,0.012700333,0.03
Oklahoma,Multiracial,0,0,0.07
Oregon,Multiracial,0.020706528,0.010380623,0.04
Pennsylvania,Multiracial,0,0,0.02
Puerto Rico,Multiracial,0,0,0.001
Rhode Island,Multiracial,0,0,0.03
South Carolina,Multiracial,0,0,0.02
South Dakota,Multiracial,0,0,0.03
Tennessee,Multiracial,0,0,0.02
Texas,Multiracial,0,0,0.02
United States,Multiracial,0.003845696,0.002149329,0.03
Utah,Multiracial,0,0,0.03
Virginia,Multiracial,0.003973181,0,0.04
Virgin Islands,Multiracial,0,0,
Vermont,Multiracial,0,0,0.02
Washington,Multiracial,0.015332003,0.011325783,0.05
Wisconsin,Multiracial,0,0,0.02
West Virginia,Multiracial,0,0,0.02
Wyoming,Multiracial,0,0,0.02
Alaska,Other,0.01703645,0,
Alabama,Other,0.054619517,0.019687712,
Arkansas,Other,0.136007042,0.067331671,
American Samoa,Other,,,
Arizona,Other,0.021751207,0.01633888,
California,Other,0.095783397,0.013307985,
Colorado,Other,0.00676651,0.003612282,
Connecticut,Other,0.006007053,0.004758668,
District of Columbia,Other,0.259337861,0.010327022,
Delaware,Other,0.050454864,0.013816926,
Florida,Other,0.047497375,0.038010717,
Georgia,Other,0.026948015,0.004574042,
Guam,Other,0.086053412,0,
Hawaii,Other,0.023172906,0,
Iowa,Other,0.009900526,0,
Idaho,Other,0.116575893,0.01369863,
Illinois,Other,0.037285858,0.00685112,
Indiana,Other,0.163278394,0.124698588,
Kansas,Other,0.052769923,0.027607362,
Kentucky,Other,0,0,
Louisiana,Other,0.076542659,0.004783417,
Massachusetts,Other,0.053771717,0.064368625,
Maryland,Other,0.046389168,0.010174419,
Maine,Other,0.030152071,0,
Michigan,Other,0.060084698,0.01890625,
Minnesota,Other,0.119445585,0.013011152,
Missouri,Other,0.049991652,0.03091061,
Northern Mariana Islands,Other,0,0,
Mississippi,Other,0.082402875,0.011371237,
Montana,Other,0.009575105,0,
North Carolina,Other,0.116916416,0.064985994,
North Dakota,Other,0,0,
Nebraska,Other,0.069055163,0.037974684,
New Hampshire,Other,0.03853325,0.002444988,
New Jersey,Other,0.068152295,0.015455755,
New Mexico,Other,0,0,
Nevada,Other,0.115024625,0.014986376,
New York,Other,0,0.065577257,
Ohio,Other,0.068131267,0.007862111,
Oklahoma,Other,0.039795429,0.024193548,
Oregon,Other,0.313999284,0.079584775,
Pennsylvania,Other,0.010239702,0.047625738,
Puerto Rico,Other,0,0,
Rhode Island,Other,0.027052239,0.012974052,
South Carolina,Other,0.06527174,0.025486251,
South Dakota,Other,0.100416915,0,
Tennessee,Other,0.13611395,0.06204757,
Texas,Other,0.000400885,0.000396983,
United States,Other,0.052379573,0.032141603,
Utah,Other,0.122850446,0.080291971,
Virginia,Other,0.023709012,0.013955727,
Virgin Islands,Other,0,0,
Vermont,Other,0.020714286,0.017857143,
Washington,Other,0.01523701,0.021985343,
Wisconsin,Other,0.096431283,0.016685206,
West Virginia,Other,0.149832215,0,
Wyoming,Other,0.039191919,0,
Alaska,Unknown,0.418383518,0.05,
Alabama,Unknown,0.349824703,0.068567549,
Arkansas,Unknown,0.086062709,0,
American Samoa,Unknown,,,
Arizona,Unknown,0.505388423,0.171558245,
California,Unknown,0.359432966,0.026021863,
Colorado,Unknown,0.281103392,0.034316677,
Connecticut,Unknown,0.302956372,0.009743938,
District of Columbia,Unknown,0.024787776,0,
Delaware,Unknown,0.09013296,0.044905009,
Florida,Unknown,0.359195951,0.059276624,
Georgia,Unknown,0.340702458,0.008290452,
Guam,Unknown,0.056379822,1,
Hawaii,Unknown,0.296494355,1,
